Rg	Dos.	Favoris	Vidéo	NOM Prénom	Tps	Cat	Rg/Cat	Rg/S	Equipe	TOD	Swim	Cycle	Run	Swim	Cycle	Run
1	444			Jeremy QUINDOS	02:01:07	SEM	1	1	POISSY TRI	16:44:59	00:24:44	01:03:53	00:32:30	00:24:44	01:03:53	00:32:30
2	1023			Yegor MARTYNENKO	02:01:51	SEM	2	2		16:45:42	00:24:46	01:03:48	00:33:15	00:24:46	01:03:48	00:33:15
3	443			Thomas ANDRE	02:07:42	SEM	3	3		16:51:34	00:25:01	01:08:27	00:34:13	00:25:01	01:08:27	00:34:13
4	341			Come MERCIER	02:09:06	SEM	4	4	ROUEN TRI	16:52:58	00:28:39	01:07:37	00:32:49	00:28:39	01:07:37	00:32:49
5	332			Antoine BOUVET	02:10:42	SEM	5	5	LES PIRANHAS	16:54:34	00:25:18	01:08:06	00:37:17	00:25:18	01:08:06	00:37:17
6	1026			Sebastien PASCAL	02:10:58	SEM	6	6	TRI TOULOUSE METROPOLE	16:54:50	00:27:38	01:08:33	00:34:46	00:27:38	01:08:33	00:34:46
7	334			Guillaume FREBOURG	02:11:37	SEM	7	7	MSA TRI	16:55:28	00:29:56	01:06:21	00:35:18	00:29:56	01:06:21	00:35:18
8	1011			Felicty SHEEDY-RYAN	02:11:47	SEF	1	1	TRI VAL DE GRAY	16:55:39	00:27:45	01:08:50	00:35:11	00:27:45	01:08:50	00:35:11
9	279			Axel DE POORTER	02:11:50	SEM	8	8	ENDURANCE 72 TRI	16:55:41	00:27:48	01:08:40	00:35:21	00:27:48	01:08:40	00:35:21
10	23			Lilian JEGOU	02:12:54	VEM	1	9	SAINT HERBLAIN TRI	16:56:46	00:33:25	01:02:50	00:36:38	00:33:25	01:02:50	00:36:38
11	1030			Emilie MORIER	02:13:19	JUF	1	2	ISSY TRIATHLON	16:57:11	00:27:40	01:08:51	00:36:47	00:27:40	01:08:51	00:36:47
12	546			Remi LOUVEL	02:13:24	SEM	9	10	TEAM CHARENTES TRI	16:57:15	00:31:00	01:05:35	00:36:48	00:31:00	01:05:35	00:36:48
13	302			Teddy CAMBOUT	02:13:47	SEM	10	11	SABLE TRI	16:57:38	00:26:18	01:08:02	00:39:25	00:26:18	01:08:02	00:39:25
14	114			Eric TURBE	02:14:11	SEM	11	12	TRI CLUB NANTAIS	16:58:03	00:28:33	01:08:07	00:37:30	00:28:33	01:08:07	00:37:30
15	255			Nicolas BAYLE	02:14:45	SEM	12	13	LAVAL TRI CLUB	16:58:37	00:30:10	01:06:37	00:37:57	00:30:10	01:06:37	00:37:57
16	951			Antoine SAINT LOUBERT	02:14:50	SEM	13	14	STADE NIORTAIS TRI	16:58:41	00:28:02	01:08:23	00:38:24	00:28:02	01:08:23	00:38:24
17	488			Jonathan MAHE	02:14:56	SEM	14	15	BEST TRI SAINT NAZAIRE	16:58:47	00:30:04	01:06:39	00:38:12	00:30:04	01:06:39	00:38:12
18	191			Maxime GUERET	02:14:58	SEM	15	16	ASPTT ANGERS	16:58:50	00:26:18	01:08:24	00:40:15	00:26:18	01:08:24	00:40:15
19	192			Olivier GUILLAMET	02:14:59	VEM	2	17	ASPTT ANGERS	16:58:51	00:30:11	01:06:28	00:38:19	00:30:11	01:06:28	00:38:19
20	278			Romeo BROUTE	02:15:20	SEM	16	18	ENDURANCE 72 TRI	16:59:12	00:30:20	01:06:10	00:38:48	00:30:20	01:06:10	00:38:48
21	878			Greta HORVATH	02:15:45	SEF	2	3	BRIVE LIMOUSIN TRIATHLON	16:59:37	00:27:52	01:08:51	00:39:01	00:27:52	01:08:51	00:39:01
22	519			Bastien RAVENELLE	02:15:58	JUM	1	19	SAINT AVERTIN SPORTS TRI 37	16:59:49	00:26:03	01:10:41	00:39:13	00:26:03	01:10:41	00:39:13
23	337			Tristan BOSSAERT	02:16:07	SEM	17	20	ROUEN TRI	16:59:59	00:26:19	01:07:55	00:41:52	00:26:19	01:07:55	00:41:52
24	978			Paul LOISEAUX	02:16:36	JUM	2	21	STADE POITEVIN TRI	17:00:28	00:29:43	01:06:46	00:40:07	00:29:43	01:06:46	00:40:07
25	526			Olivier BOGARD	02:17:02	VEM	3	22	RENNES TRI	17:00:53	00:30:09	01:06:53	00:39:59	00:30:09	01:06:53	00:39:59
26	949			Franck TAJIRI	02:17:16	VEM	4	23	VERSAILLES TRI	17:01:07	00:28:03	01:08:51	00:40:20	00:28:03	01:08:51	00:40:20
27	498			Franck GUIRRIEC	02:17:33	VEM	5	24	BEST TRI SAINT NAZAIRE	17:01:24	00:30:20	01:06:26	00:40:46	00:30:20	01:06:26	00:40:46
28	313			Raphael NOEL	02:17:41	SEM	18	25	CLUB DES NAGEURS DE PARIS	17:01:33	00:28:41	01:07:52	00:41:08	00:28:41	01:07:52	00:41:08
29	140			Frederic LELIEVRE	02:17:51	VEM	6	26	TRI COTE D AMOUR	17:01:43	00:33:43	01:07:12	00:36:55	00:33:43	01:07:12	00:36:55
30	326			Louis MOREAU	02:18:06	SEM	19	27	STADE FRANCAIS	17:01:58	00:31:35	01:09:40	00:36:51	00:31:35	01:09:40	00:36:51
31	705			Frederic DIEN	02:18:08	SEM	20	28	MONT SAINT AIGNAN	17:02:00	00:33:00	01:07:58	00:37:09	00:33:00	01:07:58	00:37:09
32	177			Thibaut CULTY	02:18:12	VEM	7	29	ANGERS TRI	17:02:04	00:30:43	01:07:46	00:39:43	00:30:43	01:07:46	00:39:43
33	843			Romain LE CLECH	02:18:38	SEM	21	30	USC TRIATHLON	17:02:30	00:34:05	01:07:12	00:37:21	00:34:05	01:07:12	00:37:21
34	502			Kevin DUREY	02:18:46	SEM	22	31	BEST TRI SAINT NAZAIRE	17:02:38	00:32:46	01:08:06	00:37:52	00:32:46	01:08:06	00:37:52
35	156			Julien TREHIN	02:18:52	SEM	23	32	TRI COTE D AMOUR	17:02:44	00:34:20	01:06:25	00:38:07	00:34:20	01:06:25	00:38:07
36	970			Vincent FORTIN	02:19:01	JUM	3	33	ST JEAN DE MONTS VENDEE TRI ATHLETISME	17:02:53	00:30:17	01:05:56	00:42:47	00:30:17	01:05:56	00:42:47
37	103			Alexandre PLUMEJEAU	02:19:06	SEM	24	34	TRI CLUB NANTAIS	17:02:58	00:32:31	01:06:41	00:39:54	00:32:31	01:06:41	00:39:54
38	181			Frederick SUZANNE	02:19:11	VEM	8	35	ANGERS TRI	17:03:02	00:32:02	01:09:25	00:37:43	00:32:02	01:09:25	00:37:43
39	297			Vincent GRANDJEAN	02:19:18	SEM	25	36	MAT 72  LE MANS ASSOCIATION TRIA	17:03:09	00:34:14	01:06:44	00:38:18	00:34:14	01:06:44	00:38:18
40	227			Benoit GUIMARD	02:19:27	SEM	26	37	TOBESPORT	17:03:19	00:31:32	01:05:20	00:42:34	00:31:32	01:05:20	00:42:34
41	147			Lionel POSTOLLEC	02:19:38	VEM	9	38	TRI COTE D AMOUR	17:03:30	00:31:33	01:09:17	00:38:47	00:31:33	01:09:17	00:38:47
42	198			Vincent VERGER	02:20:15	SEM	27	39	ASPTT ANGERS	17:04:07	00:32:44	01:08:13	00:39:17	00:32:44	01:08:13	00:39:17
43	178			Jerome FOIN	02:20:39	SEM	28	40	ANGERS TRI	17:04:31	00:33:13	01:07:43	00:39:42	00:33:13	01:07:43	00:39:42
44	301			Mickael TISSERANDET	02:20:49	SEM	29	41	MAT 72  LE MANS ASSOCIATION TRIA	17:04:40	00:35:15	01:07:58	00:37:34	00:35:15	01:07:58	00:37:34
45	319			Gregory STEBE	02:20:51	SEM	30	42	PARIS SPORT CLUB	17:04:43	00:28:37	01:08:03	00:44:10	00:28:37	01:08:03	00:44:10
46	433			Cyrille HASCOET	02:20:56	SEM	31	43	TEAM CONCARNEAU TRIATHLON	17:04:48	00:29:49	01:09:18	00:41:48	00:29:49	01:09:18	00:41:48
47	1025			Clement NAULLET	02:21:12	SEM	32	44	ISSY TRI	17:05:03	00:30:55	01:07:41	00:42:35	00:30:55	01:07:41	00:42:35
48	253			Benjamin TRIDON	02:21:24	SEM	33	45	CHATEAU GONTIER TRI	17:05:16	00:35:07	01:07:31	00:38:46	00:35:07	01:07:31	00:38:46
49	496			Yann GUIRRIEC	02:21:27	VEM	10	46	BEST TRI SAINT NAZAIRE	17:05:18	00:31:47	01:09:23	00:40:16	00:31:47	01:09:23	00:40:16
50	439			Thomas BACHELIER	02:21:30	SEM	34	47	TUB	17:05:22	00:34:45	01:08:27	00:38:17	00:34:45	01:08:27	00:38:17
51	690			Quentin ANDRES	02:21:44	SEM	35	48	CLUB RATHELOT	17:05:35	00:34:21	01:08:51	00:38:31	00:34:21	01:08:51	00:38:31
52	101			Cyril PIETRUSZEWSKI	02:21:47	SEM	36	49	TRI CLUB NANTAIS	17:05:39	00:32:22	01:10:43	00:38:41	00:32:22	01:10:43	00:38:41
53	645			Olivier RASSINOUX	02:21:58	VEM	11	50	ASAEC COETQUIDAN TRI	17:05:50	00:34:24	01:08:42	00:38:52	00:34:24	01:08:42	00:38:52
54	991			Francois PRIMOT	02:22:11	VEM	12	51	CLUB YERROIS DE TRI 91	17:06:03	00:31:22	01:09:45	00:41:04	00:31:22	01:09:45	00:41:04
55	1			Sylvain LA NEELLE	02:22:14	VEM	13	52	TRI CLUB NANTAIS CONSEIL DEPARTEMENTAL |	17:06:06	00:30:21	01:10:20	00:41:32	00:30:21	01:10:20	00:41:32
56	955			Sebastien PIVETEAU	02:22:21	VEM	14	53	CHANTONNAY TRI	17:06:12	00:35:36	01:06:55	00:39:49	00:35:36	01:06:55	00:39:49
57	240			Sebastien VOGNE	02:22:25	VEM	15	54	TOBESPORT	17:06:17	00:32:26	01:09:09	00:40:50	00:32:26	01:09:09	00:40:50
58	1019			Gregoire PALLARDY	02:22:28	SEM	37	55	TEAM CHARENTES TRI	17:06:19	00:25:52	01:08:42	00:47:52	00:25:52	01:08:42	00:47:52
59	465			Romain GUIHARD	02:22:32	SEM	38	56	CORMARIS TRI	17:06:24	00:32:17	01:10:36	00:39:37	00:32:17	01:10:36	00:39:37
60	975			Pascal CASSEZ	02:22:32	VEM	16	57	STADE POITEVIN TRI	17:06:24	00:33:10	01:08:00	00:41:22	00:33:10	01:08:00	00:41:22
61	706			Yann DIEN	02:22:36	VEM	17	58	CLUB TRIATHLON LA REUNION	17:06:28	00:32:50	01:08:11	00:41:34	00:32:50	01:08:11	00:41:34
62	30			Ludovic GRUPONT	02:22:40	SEM	39	59	SNLS44	17:06:32	00:35:27	01:07:42	00:39:30	00:35:27	01:07:42	00:39:30
63	394			Maxime GANNE	02:22:41	SEM	40	60	ISSY TRI	17:06:33	00:30:20	01:10:19	00:42:01	00:30:20	01:10:19	00:42:01
64	266			Yohann ESVAN	02:22:47	SEM	41	61	TRIATHLE VANNES	17:06:38	00:34:19	01:08:17	00:40:10	00:34:19	01:08:17	00:40:10
65	167			Cedric LE CORRE	02:22:48	SEM	42	62	TRI VELOCE SAINT SEBASTIEN	17:06:39	00:31:54	01:09:21	00:41:31	00:31:54	01:09:21	00:41:31
66	97			Remy MORISSEAU	02:22:53	VEM	18	63	TRI CLUB NANTAIS	17:06:45	00:31:03	01:10:30	00:41:20	00:31:03	01:10:30	00:41:20
67	500			Mathieu GUERIN	02:22:54	VEM	19	64	BEST TRI SAINT NAZAIRE	17:06:46	00:34:33	01:08:07	00:40:13	00:34:33	01:08:07	00:40:13
68	285			Ulrich AUDOUIN	02:22:58	SEM	43	65	MAT 72  LE MANS ASSOCIATION TRIA	17:06:50	00:35:24	01:07:52	00:39:41	00:35:24	01:07:52	00:39:41
69	996			Fabrice TINAT	02:23:01	VEM	20	66	CLUB YERROIS DE TRI 91	17:06:52	00:35:06	01:08:08	00:39:46	00:35:06	01:08:08	00:39:46
70	929			David COLAT	02:23:07	SEM	44	67	TRI CLUB ST QUENTIN EN YVEL	17:06:59	00:35:10	01:07:54	00:40:02	00:35:10	01:07:54	00:40:02
71	419			Julien GUILLOIS	02:23:10	SEM	45	68	353 TRIATHLON CLUB	17:07:01	00:33:10	01:09:48	00:40:11	00:33:10	01:09:48	00:40:11
72	803			Arnaud DELAETER	02:23:13	SEM	46	69	LONDRES	17:07:05	00:34:39	01:08:06	00:40:27	00:34:39	01:08:06	00:40:27
73	72			Nicolas GENESTINE	02:23:14	SEM	47	70	TRI CLUB NANTAIS	17:07:05	00:35:30	01:07:11	00:40:32	00:35:30	01:07:11	00:40:32
74	106			Clement RASSELET	02:23:14	SEM	48	71	TRI CLUB NANTAIS	17:07:06	00:35:25	01:07:15	00:40:33	00:35:25	01:07:15	00:40:33
75	86			Fabien LATINIER	02:23:21	SEM	49	72	TRI CLUB NANTAIS	17:07:12	00:35:30	01:07:01	00:40:49	00:35:30	01:07:01	00:40:49
76	137			Frederic LAIR	02:23:21	SEM	50	73	TRI COTE D AMOUR	17:07:12	00:34:46	01:07:27	00:41:07	00:34:46	01:07:27	00:41:07
77	83			Jean-Vincent JEMELEN	02:23:25	SEM	51	74	TRI CLUB NANTAIS	17:07:17	00:34:12	01:08:54	00:40:18	00:34:12	01:08:54	00:40:18
78	463			Arnaud PERQUIA	02:23:32	VEM	21	75	CORMARIS TRI	17:07:23	00:34:18	01:08:21	00:40:52	00:34:18	01:08:21	00:40:52
79	259			Lenaic GOUAILLIER	02:23:52	SEM	52	76	LAVAL TRI CLUB	17:07:43	00:32:21	01:09:14	00:42:16	00:32:21	01:09:14	00:42:16
80	91			Bastien LESCOUBLET	02:23:56	SEM	53	77	TRI CLUB NANTAIS	17:07:48	00:35:17	01:07:51	00:40:48	00:35:17	01:07:51	00:40:48
81	159			Arnaud DELROT	02:24:11	VEM	22	78	TRI SPORT COUERONNAIS	17:08:03	00:32:32	01:09:02	00:42:36	00:32:32	01:09:02	00:42:36
82	269			Thomas LE NY	02:24:15	SEM	54	79	TRIATHLE VANNES	17:08:07	00:35:00	01:07:50	00:41:24	00:35:00	01:07:50	00:41:24
83	440			Vincent HARNOIS	02:24:17	SEM	55	80	TUB	17:08:08	00:30:53	01:10:35	00:42:47	00:30:53	01:10:35	00:42:47
84	254			Fabien TERMEAU	02:24:23	SEM	56	81	ERNEENNE SPORTS TRI	17:08:14	00:35:06	01:07:31	00:41:45	00:35:06	01:07:31	00:41:45
85	535			Sylvere MALABOEUF	02:24:24	VEM	23	82	TRIATH CLUB ROYANNAIS	17:08:15	00:34:12	01:08:24	00:41:46	00:34:12	01:08:24	00:41:46
86	281			Gregory PIPARD	02:24:40	SEM	57	83	ENDURANCE 72 TRI	17:08:32	00:34:52	01:08:19	00:41:28	00:34:52	01:08:19	00:41:28
87	848			Tristan DAESCHNER	02:24:52	SEM	58	84	PARIS	17:08:44	00:32:11	01:10:41	00:42:00	00:32:11	01:10:41	00:42:00
